scaffold_0	150001	160000	0.789404
scaffold_0	180001	190000	0.689644
scaffold_0	200001	210000	0.565344
scaffold_0	3100001	3110000	0.562659
scaffold_0	3800001	3810000	0.67651
scaffold_0	11310001	11320000	0.590042
scaffold_0	13550001	13560000	0.659514
scaffold_0	14620001	14630000	0.72315
scaffold_0	17240001	17250000	0.657966
scaffold_0	17630001	17640000	0.701968
scaffold_0	17790001	17800000	0.582217
scaffold_1	200001	210000	0.617443
scaffold_1	4470001	4480000	0.557957
scaffold_1	5500001	5510000	0.614325
scaffold_1	5510001	5520000	0.606646
scaffold_1	5670001	5680000	0.718894
scaffold_1	5680001	5690000	0.741485
scaffold_1	6210001	6220000	0.596414
scaffold_1	6220001	6230000	0.570642
scaffold_1	6240001	6250000	0.570276
scaffold_1	6670001	6680000	0.566027
scaffold_1	11760001	11770000	0.626776
scaffold_1	11880001	11890000	0.684216
scaffold_1	12020001	12030000	0.569206
scaffold_1	12340001	12350000	0.556736
scaffold_1	12410001	12420000	0.613602
scaffold_2	8130001	8140000	0.551981
scaffold_2	12490001	12500000	0.584419
scaffold_5	1940001	1950000	0.551425
scaffold_5	4070001	4080000	0.559115
scaffold_5	4110001	4120000	0.550393
scaffold_5	4130001	4140000	0.643221
scaffold_6	6210001	6220000	0.561619
scaffold_7	7070001	7080000	0.551503
scaffold_7	7090001	7100000	0.607889
scaffold_8	2830001	2840000	0.558259
scaffold_8	5860001	5870000	0.550985
scaffold_8	6640001	6650000	0.594455
scaffold_8	6650001	6660000	0.598016
scaffold_8	8200001	8210000	0.55908
scaffold_9	50001	60000	0.565334
scaffold_9	60001	70000	0.618294
scaffold_9	190001	200000	0.613025
scaffold_9	200001	210000	0.60009
scaffold_9	220001	230000	0.756256
scaffold_9	250001	260000	0.646965
scaffold_9	270001	280000	0.584799
scaffold_9	280001	290000	0.696666
scaffold_9	290001	300000	0.685466
scaffold_9	300001	310000	0.614324
scaffold_9	320001	330000	0.604124
scaffold_9	330001	340000	0.565483
scaffold_9	370001	380000	0.612316
scaffold_9	380001	390000	0.568572
scaffold_9	390001	400000	0.600624
scaffold_9	700001	710000	0.639333
scaffold_9	900001	910000	0.618927
scaffold_9	1100001	1110000	0.609035
scaffold_9	3390001	3400000	0.57694
scaffold_9	6190001	6200000	0.633549
scaffold_9	8000001	8010000	0.55123
scaffold_9	9290001	9300000	0.57355
scaffold_11	8440001	8450000	0.577452
scaffold_12	1240001	1250000	0.599134
scaffold_12	2660001	2670000	0.567843
scaffold_12	3680001	3690000	0.648734
scaffold_12	4010001	4020000	0.590459
scaffold_12	5050001	5060000	0.550171
scaffold_12	6500001	6510000	0.649031
scaffold_12	7610001	7620000	0.599667
scaffold_12	8280001	8290000	0.614604
scaffold_12	8390001	8400000	0.581553
scaffold_12	8630001	8640000	0.550969
scaffold_14	4280001	4290000	0.570886
scaffold_15	3810001	3820000	0.630805
scaffold_15	4620001	4630000	0.564354
scaffold_16	2200001	2210000	0.567891
scaffold_16	2280001	2290000	0.649481
scaffold_18	1030001	1040000	0.598119
scaffold_18	5740001	5750000	0.565736
scaffold_18	5860001	5870000	0.603168
scaffold_18	5900001	5910000	0.571944
scaffold_18	6390001	6400000	0.563857
scaffold_18	6750001	6760000	0.683947
scaffold_18	7090001	7100000	0.619042
scaffold_20	390001	400000	0.604654
scaffold_20	2450001	2460000	0.578597
scaffold_20	2460001	2470000	0.618086
scaffold_21	4960001	4970000	0.594147
scaffold_23	2530001	2540000	0.567132
scaffold_23	3640001	3650000	0.687584
scaffold_24	5710001	5720000	0.569733
scaffold_27	4060001	4070000	0.697565
scaffold_27	4070001	4080000	0.784624
scaffold_27	4110001	4120000	0.616674
scaffold_28	1	10000	0.55794
scaffold_28	1270001	1280000	0.837333
scaffold_28	6550001	6560000	0.616808
scaffold_29	1150001	1160000	0.559457
scaffold_29	1280001	1290000	0.609318
scaffold_29	1580001	1590000	0.685415
scaffold_29	1730001	1740000	0.629017
scaffold_29	1740001	1750000	0.558628
scaffold_29	1800001	1810000	0.589698
scaffold_29	2520001	2530000	0.582217
scaffold_29	2530001	2540000	0.616481
scaffold_29	2550001	2560000	0.613835
scaffold_29	2840001	2850000	0.668789
scaffold_29	2920001	2930000	0.623668
scaffold_29	3200001	3210000	0.597022
scaffold_29	3230001	3240000	0.599862
scaffold_29	3360001	3370000	0.633401
scaffold_29	3370001	3380000	0.57899
scaffold_29	3380001	3390000	0.600588
scaffold_29	3390001	3400000	0.664634
scaffold_29	3700001	3710000	0.636612
scaffold_29	3960001	3970000	0.593628
scaffold_29	4310001	4320000	0.611861
scaffold_29	4330001	4340000	0.559017
scaffold_29	4910001	4920000	0.641072
scaffold_29	4930001	4940000	0.574616
scaffold_29	4960001	4970000	0.624866
scaffold_29	4980001	4990000	0.621472
scaffold_29	5010001	5020000	0.584075
scaffold_29	5020001	5030000	0.618147
scaffold_29	5030001	5040000	0.650759
scaffold_29	5040001	5050000	0.664475
scaffold_29	5060001	5070000	0.600646
scaffold_29	5080001	5090000	0.67312
scaffold_29	5090001	5100000	0.717777
scaffold_29	5100001	5110000	0.773779
scaffold_29	5120001	5130000	0.588899
scaffold_29	5160001	5170000	0.56829
scaffold_29	5180001	5190000	0.567115
scaffold_29	5370001	5380000	0.637032
scaffold_29	5380001	5390000	0.555114
scaffold_29	5410001	5420000	0.603851
scaffold_29	5420001	5430000	0.576377
scaffold_29	5430001	5440000	0.63073
scaffold_29	5510001	5520000	0.74208
scaffold_29	5650001	5660000	0.577772
scaffold_29	5680001	5690000	0.647681
scaffold_29	5880001	5890000	0.649325
scaffold_29	5890001	5900000	0.568984
