 	MC	CL	CM	CN	TI	DC	MS	CV	PN	AC	LF	MP	MZ
scaffold_57:235,829-236,098	0.7142857142857143	0.9555555555555556	0.8	0.9622641509433962	1.0	0.9714285714285714	0.90625	0.6666666666666666	0.9534883720930233	0.9245283018867925	0.9545454545454546	0.9811320754716981	0.9047619047619048
scaffold_115:2,174,762-2,188,539	0.4782608695652174	0.7058823529411765	0.4	0.5526315789473685	0.7368421052631579	0.4444444444444444	0.7142857142857143	0.3142857142857143	0.8076923076923077	0.6551724137931034	0.6666666666666666	0.6136363636363636	0.40298507462686567
scaffold_95:852,058-2,427,928	0.9090909090909091	0.5	0.7272727272727273	0.6666666666666666	0.7272727272727273	0.5555555555555556	0.75	0.5294117647058824	0.4444444444444444	0.8	0.5555555555555556	0.6363636363636364	0.4090909090909091
scaffold_76:3,107,291-3,125,123	0.6495726495726496	0.70625	0.6571428571428571	0.6942148760330579	0.8	0.8258064516129032	0.6396396396396397	0.788659793814433	0.6923076923076923	0.8	0.6518987341772152	0.6282722513089005	0.7474048442906575
scaffold_83:36,310-114,651	1.0	1.0	1.0	1.0	0.2857142857142857	0.14285714285714285	0.2727272727272727	1.0	1.0	0.35714285714285715	0.2	0.3181818181818182	0.7142857142857143
scaffold_49:3,958,898-3,959,193	0.8372093023255814	0.9714285714285714	0.8095238095238095	0.9090909090909091	0.9878048780487805	0.96	0.9433962264150944	0.8840579710144928	0.9420289855072463	0.9058823529411765	0.9838709677419355	0.37168141592920356	0.961038961038961
scaffold_57:2,274,420-2,275,169	0.3	0.3391304347826087	0.0136986301369863	0.8961038961038961	0.3217391304347826	0.0	0.8070175438596491	0.8275862068965517	0.9605263157894737	0.0	0.8448275862068966	0.8095238095238095	0.8288288288288288
scaffold_85:426,096-431,367	0.5238095238095238	0.6818181818181818	0.6842105263157895	0.8461538461538461	0.6153846153846154	0.5714285714285714	0.8571428571428571	0.5555555555555556	0.4444444444444444	0.6666666666666666	0.6666666666666666	0.5714285714285714	0.0189873417721519
scaffold_114:816,524-816,684	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.03508771929824561
scaffold_90:1,343,405-1,343,672	0.9473684210526315	0.92	0.9523809523809523	0.26785714285714285	1.0	0.875	1.0	0.3076923076923077	0.24	0.9615384615384616	0.9545454545454546	1.0	0.1956521739130435
scaffold_88:670,816-671,296	0.43333333333333335	0.7692307692307693	0.47058823529411764	0.6176470588235294	0.7428571428571429	0.7083333333333334	0.65	0.391304347826087	0.5294117647058824	0.5925925925925926	0.8	0.8285714285714286	0.78
scaffold_178:805,835-1,207,855	0.9060402684563759	0.9653465346534653	0.63	0.975	0.9392712550607287	0.8795180722891566	0.9052631578947369	0.5405405405405406	0.4824561403508772	0.6029850746268657	0.5327102803738317	0.5032679738562091	0.47619047619047616
scaffold_57:2,274,418-2,275,201	0.2962962962962963	0.3391304347826087	0.0	0.8414634146341463	0.29914529914529914	0.0	0.8181818181818182	0.7719298245614035	0.8947368421052632	0.0	0.8245614035087719	0.8048780487804879	0.7946428571428571
scaffold_49:2,589,681-2,590,259	0.75	0.6666666666666666	0.5	0.7647058823529411	0.6875	0.7777777777777778	0.6470588235294118	0.625	0.0	0.0	0.375	0.6666666666666666	0.7
scaffold_38:2,033,289-2,033,859	0.7941176470588235	0.7804878048780488	0.8235294117647058	0.8983050847457628	0.8387096774193549	0.7272727272727273	0.8297872340425532	0.819672131147541	0.7608695652173914	0.8472222222222222	0.7692307692307693	0.7945205479452054	0.3069306930693069
scaffold_49:3,958,871-3,959,183	0.8636363636363636	0.9594594594594594	0.8409090909090909	0.9393939393939394	0.9418604651162791	1.0	0.9298245614035088	0.8985507246376812	0.9710144927536232	0.9204545454545454	0.9682539682539683	0.3805309734513274	0.9318181818181818
scaffold_2:11,606,814-11,608,552	0.9166666666666666	1.0	1.0	1.0	1.0	1.0	1.0	0.9166666666666666	1.0	1.0	1.0	0.0	0.0
scaffold_348:17,830-119,293	1.0	0.4411764705882353	1.0	0.5714285714285714	0.44	0.21052631578947367	1.0	1.0	0.6176470588235294	1.0	1.0	1.0	1.0
scaffold_89:1,089,665-1,094,434	0.8235294117647058	0.8666666666666667	0.6666666666666666	1.0	0.8125	1.0	0.9615384615384616	0.8421052631578947	0.9444444444444444	0.84	0.9047619047619048	0.0	0.007692307692307693
scaffold_80:623,023-1,473,658	0.10526315789473684	1.0	0.3181818181818182	0.6818181818181818	0.6	0.7857142857142857	0.6363636363636364	0.3333333333333333	0.5	0.6923076923076923	0.7142857142857143	0.7368421052631579	0.6206896551724138
scaffold_61:11,138-224,264	1.0	0.6	0.8529411764705882	1.0	1.0	1.0	1.0	0.0	0.6835443037974683	0.6203703703703703	0.5769230769230769	1.0	1.0
